time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
59851,0,0,0,223,17
59866,0,0,0,222,18
59867,0,0,0,223,17
59880,0,0,0,222,18
59881,0,0,0,223,17
59894,0,0,0,222,18
59895,0,0,0,223,17
59907,0,0,0,222,18
59908,0,0,0,223,17
59921,0,0,0,222,18
59922,0,0,0,223,17
62256,0,0,0,222,18
62257,0,0,0,223,17
63419,0,0,0,222,18
63420,0,0,0,223,17
63436,0,0,0,222,18
63437,0,0,0,223,17
63450,0,0,0,222,18
63451,0,0,0,223,17
63466,0,0,0,222,18
63467,0,0,0,223,17
63480,0,0,0,222,18
63481,0,0,0,223,17
63494,0,0,0,222,18
63495,0,0,0,223,17
63507,0,0,0,222,18
63508,0,0,0,223,17
63521,0,0,0,222,18
63522,0,0,0,223,17
65856,0,0,0,222,18
65857,0,0,0,223,17
67019,0,0,0,222,18
67020,0,0,0,223,17
67036,0,0,0,222,18
67037,0,0,0,223,17
67050,0,0,0,222,18
67051,0,0,0,223,17
67066,0,0,0,222,18
67067,0,0,0,223,17
67080,0,0,0,222,18
67081,0,0,0,223,17
67094,0,0,0,222,18
67095,0,0,0,223,17
67107,0,0,0,222,18
67108,0,0,0,223,17
67121,0,0,0,222,18
67122,0,0,0,223,17
69456,0,0,0,222,18
69457,0,0,0,223,17
70619,0,0,0,222,18
70620,0,0,0,223,17
70636,0,0,0,222,18
70637,0,0,0,223,17
70650,0,0,0,222,18
70651,0,0,0,223,17
70666,0,0,0,222,18
70667,0,0,0,223,17
70680,0,0,0,222,18
70681,0,0,0,223,17
70694,0,0,0,222,18
70695,0,0,0,223,17
70707,0,0,0,222,18
70708,0,0,0,223,17
70721,0,0,0,222,18
70722,0,0,0,223,17
73056,0,0,0,222,18
73057,0,0,0,223,17
74219,0,0,0,222,18
74220,0,0,0,223,17
74236,0,0,0,222,18
74237,0,0,0,223,17
74250,0,0,0,222,18
74251,0,0,0,223,17
74266,0,0,0,222,18
74267,0,0,0,223,17
74280,0,0,0,222,18
74281,0,0,0,223,17
74294,0,0,0,222,18
74295,0,0,0,223,17
74307,0,0,0,222,18
74308,0,0,0,223,17
74321,0,0,0,222,18
74322,0,0,0,223,17
76656,0,0,0,222,18
76657,0,0,0,223,17
77819,0,0,0,222,18
77820,0,0,0,223,17
77836,0,0,0,222,18
77837,0,0,0,223,17
77850,0,0,0,222,18
77851,0,0,0,223,17
77866,0,0,0,222,18
77867,0,0,0,223,17
77880,0,0,0,222,18
77881,0,0,0,223,17
77894,0,0,0,222,18
77895,0,0,0,223,17
77907,0,0,0,222,18
77908,0,0,0,223,17
77921,0,0,0,222,18
77922,0,0,0,223,17
80256,0,0,0,222,18
80257,0,0,0,223,17
81419,0,0,0,222,18
81420,0,0,0,223,17
81436,0,0,0,222,18
81437,0,0,0,223,17
81450,0,0,0,222,18
81451,0,0,0,223,17
