time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.00240003,0,0,0,38352,48
4.0024,0,0,0,38400,0
1890,0,0,0,38352,48
1895,0,0,0,38400,0
4935,0,0,0,38352,48
4939,0,0,0,38400,0
5153,0,0,0,38352,48
5502,0,0,0,38400,0
5948,0,0,0,38352,48
6102,0,0,0,38304,96
6177,0,0,0,38352,48
6331,0,0,0,38400,0
6505,0,0,0,36864,1536
6520,0,0,0,35328,3072
6535,0,0,0,33792,4608
6550,0,0,0,32256,6144
6565,0,0,0,30720,7680
6581,0,0,0,29184,9216
6596,0,0,0,27648,10752
6611,0,0,0,26112,12288
6626,0,0,0,24576,13824
6641,0,0,0,23040,15360
6656,0,0,0,21504,16896
6686,0,0,0,19968,18432
6701,0,0,0,18432,19968
6716,0,0,0,16896,21504
6731,0,0,0,15360,23040
6746,0,0,0,13824,24576
6760,0,0,0,15360,23040
6761,0,0,0,13824,24576
6763,0,0,0,15360,23040
6775,0,0,0,16896,21504
6777,0,0,0,15360,23040
6790,0,0,0,16896,21504
6793,0,0,0,15360,23040
6808,0,0,0,13824,24576
6820,0,0,0,15360,23040
6823,0,0,0,16896,21504
6838,0,0,0,18432,19968
6839,0,0,0,16896,21504
6853,0,0,0,18432,19968
6855,0,0,0,17664,20736
6869,0,0,0,19200,19200
6869,0,0,0,18816,19584
6880,0,0,0,20352,18048
6886,0,0,0,20160,18240
6900,0,0,0,20064,18336
6914,0,0,0,20016,18384
6928,0,0,0,21552,16848
6929,0,0,0,21528,16872
6944,0,0,0,23064,15336
6958,0,0,0,24600,13800
6971,0,0,0,26136,12264
6984,0,0,0,27672,10728
7011,0,0,0,29208,9192
7022,0,0,0,30744,7656
7033,0,0,0,32280,6120
7033,0,0,0,33816,4584
7049,0,0,0,35352,3048
7084,0,0,0,36888,1512
7091,0,0,0,37656,744
7106,0,0,0,38040,360
7116,0,0,0,38232,168
7132,0,0,0,38328,72
7141,0,0,0,38376,24
7157,0,0,0,38400,0
7162,0,0,0,36864,1536
7178,0,0,0,35328,3072
7193,0,0,0,33792,4608
7208,0,0,0,32256,6144
7223,0,0,0,30720,7680
7253,0,0,0,29184,9216
7268,0,0,0,27648,10752
7283,0,0,0,26112,12288
7300,0,0,0,24576,13824
7315,0,0,0,23040,15360
7330,0,0,0,21504,16896
7345,0,0,0,19968,18432
7360,0,0,0,18432,19968
7376,0,0,0,16896,21504
7391,0,0,0,15360,23040
7406,0,0,0,13824,24576
7437,0,0,0,12288,26112
7453,0,0,0,10752,27648
7468,0,0,0,9216,29184
7498,0,0,0,7680,30720
7515,0,0,0,6912,31488
7530,0,0,0,6528,31872
7545,0,0,0,6336,32064
7559,0,0,0,6240,32160
7574,0,0,0,6192,32208
7589,0,0,0,6168,32232
8810,0,0,0,4632,33768
8826,0,0,0,3096,35304
8841,0,0,0,1560,36840
8856,0,0,0,24,38376
9508,0,0,0,1560,36840
9508,0,0,0,24,38376
9532,0,0,0,1560,36840
9532,0,0,0,24,38376
9567,0,0,0,1560,36840
9567,0,0,0,24,38376
9586,0,0,0,1560,36840
9586,0,0,0,24,38376
9587,0,0,0,1560,36840
9587,0,0,0,24,38376
9646,0,0,0,1560,36840
9646,0,0,0,24,38376
9667,0,0,0,1560,36840
9667,0,0,0,24,38376
9676,0,0,0,1560,36840
9676,0,0,0,24,38376
9688,0,0,0,1560,36840
9688,0,0,0,24,38376
9692,0,0,0,1560,36840
9692,0,0,0,24,38376
9726,0,0,0,1560,36840
9726,0,0,0,24,38376
9747,0,0,0,1560,36840
9747,0,0,0,24,38376
9775,0,0,0,1560,36840
9775,0,0,0,24,38376
9778,0,0,0,408,37992
9788,0,0,0,504,37896
9816,0,0,0,528,37872
9832,0,0,0,720,37680
9835,0,0,0,768,37632
9918,0,0,0,2304,36096
9918,0,0,0,768,37632
9960,0,0,0,1536,36864
9960,0,0,0,0,38400
10300,0,0,0,1536,36864
10300,0,0,0,0,38400
10555,0,0,0,1536,36864
10555,0,0,0,0,38400
10693,0,0,0,1536,36864
10693,0,0,0,768,37632
10693,0,0,0,384,38016
10693,0,0,0,192,38208
10693,0,0,0,96,38304
10693,0,0,0,48,38352
10693,0,0,0,24,38376
