time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
63466,0,0,0,183,57
63957,0,0,0,184,56
65411,0,0,0,185,55
65715,0,0,0,186,54
66469,0,0,0,185,55
66480,0,0,0,184,56
66491,0,0,0,183,57
66501,0,0,0,182,58
66512,0,0,0,181,59
66820,0,0,0,182,58
67041,0,0,0,183,57
71578,0,0,0,184,56
71624,0,0,0,185,55
71670,0,0,0,186,54
72426,0,0,0,187,53
73525,0,0,0,186,54
73536,0,0,0,185,55
73546,0,0,0,184,56
73557,0,0,0,183,57
73567,0,0,0,182,58
73880,0,0,0,183,57
74221,0,0,0,215,25
77521,0,0,0,216,24
77561,0,0,0,217,23
78947,0,0,0,218,22
79197,0,0,0,219,21
79667,0,0,0,220,20
80515,0,0,0,228,12
80580,0,0,0,227,13
80590,0,0,0,226,14
80600,0,0,0,225,15
80611,0,0,0,224,16
80621,0,0,0,223,17
80894,0,0,0,224,16
81991,0,0,0,225,15
84455,0,0,0,226,14
86560,0,0,0,227,13
86727,0,0,0,228,12
87078,0,0,0,229,11
87364,0,0,0,230,10
87863,0,0,0,231,9
88751,0,0,0,232,8
88762,0,0,0,233,7
89536,0,0,0,234,6
90675,0,0,0,235,5
94855,0,0,0,236,4
95456,0,0,0,237,3
101842,0,0,0,238,2
102477,0,0,0,178,62
102607,0,0,0,238,2
104414,0,0,0,236,4
104658,0,0,0,232,8
104664,0,0,0,236,4
104774,0,0,0,232,8
104790,0,0,0,236,4
104799,0,0,0,212,28
104854,0,0,0,210,30
104862,0,0,0,186,54
104872,0,0,0,182,58
104872,0,0,0,180,60
104887,0,0,0,184,56
104958,0,0,0,174,66
105029,0,0,0,164,76
105029,0,0,0,154,86
105029,0,0,0,144,96
105030,0,0,0,134,106
105030,0,0,0,124,116
105030,0,0,0,114,126
105030,0,0,0,104,136
105030,0,0,0,94,146
105033,0,0,0,84,156
105122,0,0,0,78,162
105142,0,0,0,72,168
105147,0,0,0,66,174
105743,0,0,0,6,234
